game_id,player_id,team_id,best_of,curr_game,champion_id,side,role,opp_player_id,opp_team_id,opp_champion_id,result,kills,deaths,assists,double_kills,triple_kills,quad_kills,penta_kills,first_blood,avg_mins_between_kills,avg_mins_between_deaths,solo_kills,iso_deaths,minion_kills,neutral_minion_kills,neutral_minion_kills_team_jungle,neutral_minion_kills_enemy_jungle,perc_in_mid_lane,num_recalls,total_damage_teamfights,avg_damage_per_teamfight,dmg_to_champs_per_min,dmg_shielded_on_team_per_min,dmg_healed_on_team_per_min,total_gold,gold_at_15m,gold_diff_at_15m,wards_placed,wards_killed,vision_score,jungle_prox,duo_prox
0e2d03af-50d5-42fe-a6e1-47f4f1a3a7a4,69e50d16-9d6d-4566-91f1-97acbb1d5ef6,cbe4505b-126e-4123-abfa-23f3d5758e15,1,1,6db70bf4-2680-4389-a220-245edd6c1e88,blue,jng,b2c4d524-cec6-4f9d-8858-914c5c03e3cc,81f49a78-8be8-4832-bfc2-c9f40b0fd468,196c0589-33a3-44c7-9fc0-4cd3c4ba555e,0,1,3,9,0,0,0,0,0,NULL,12.12270833,0,0,24,156.0000305,123.5000153,0,0.07993721513,10,2811.537964,216.2721511,300.9843033,17.77507427,0,10614,5317,618,23,7,42.4527359,0.5083625,NULL
0e2d03af-50d5-42fe-a6e1-47f4f1a3a7a4,32a441dd-5706-4c5c-a13b-e7eae2c6fb0f,cbe4505b-126e-4123-abfa-23f3d5758e15,1,1,7aba2090-0ed1-4957-bbb3-10e1edf25ed8,blue,mid,6419352b-82c5-4419-a2ae-090c3071dd98,81f49a78-8be8-4832-bfc2-c9f40b0fd468,3463357e-f9a9-4f80-b244-fce8cc302ab5,0,3,2,6,0,0,0,0,0,5.307566667,12.50208333,0,1,324,27.19999886,18.19999886,0,0.3479581088,12,6881.289063,529.3299279,1127.222165,0,0,16113,5278,-371,14,11,45.03990555,0.2153416667,NULL
0e2d03af-50d5-42fe-a6e1-47f4f1a3a7a4,60d42849-beb1-4f64-83f0-6113bd4497df,cbe4505b-126e-4123-abfa-23f3d5758e15,1,1,cffa3533-e1c5-4d05-b72b-f05a2c9202c3,blue,bot,259f6984-2cdb-410d-99f8-1749a2c8b8c4,81f49a78-8be8-4832-bfc2-c9f40b0fd468,57c9590b-bcff-4f47-9656-ddd6033d3596,0,5,3,2,0,0,0,0,0,4.258008333,5.926966667,0,1,280,28.79999542,22.29999733,0,0.2263508421,10,1478.045166,113.695782,522.4965151,0,24.46660058,14489,5520,-676,13,1,18.89980125,0.2181013889,NULL
0e2d03af-50d5-42fe-a6e1-47f4f1a3a7a4,1eee2a7b-7843-46ef-8222-5bb9bbd40379,cbe4505b-126e-4123-abfa-23f3d5758e15,1,1,c5269e9d-b0a9-44cb-9ed1-ff01afa40fe7,blue,sup,25b95d8a-3363-4940-8437-ca402f65f022,81f49a78-8be8-4832-bfc2-c9f40b0fd468,c8ab5139-5836-46d0-b5cd-2bfab29d3f4e,0,1,7,8,0,0,0,0,0,NULL,5.127605556,0,0,35,0,0,0,0.1320894054,11,2241.549194,172.4268611,215.5786377,25.231629,25.3631516,7167,3185,-600,54,14,101.1548157,0.2541611111,0.4744263889
0e2d03af-50d5-42fe-a6e1-47f4f1a3a7a4,e9e4cc7b-9073-400a-9705-7a388fbe2f7e,81f49a78-8be8-4832-bfc2-c9f40b0fd468,1,1,0e089005-2fe3-4298-9093-95772c91e9b8,red,top,e6ca24a9-3a00-4847-babf-fdb83a0c04df,cbe4505b-126e-4123-abfa-23f3d5758e15,ff81d81f-5f1a-4c43-8769-2043f237312f,1,7,3,8,1,0,0,0,0,2.741861111,5.881625,0,0,272,44,26,6,0.01514560339,6,7188.873779,552.9902907,774.5309955,0,0,16424,5437,169,12,7,40.99208069,0.006927777778,NULL
0e2d03af-50d5-42fe-a6e1-47f4f1a3a7a4,b2c4d524-cec6-4f9d-8858-914c5c03e3cc,81f49a78-8be8-4832-bfc2-c9f40b0fd468,1,1,196c0589-33a3-44c7-9fc0-4cd3c4ba555e,red,jng,69e50d16-9d6d-4566-91f1-97acbb1d5ef6,cbe4505b-126e-4123-abfa-23f3d5758e15,6db70bf4-2680-4389-a220-245edd6c1e88,1,4,2,8,0,0,0,0,0,6.617788889,6.931366667,0,0,31,176.4999695,102.5000458,24.49999809,0.04716908692,7,2444.292908,188.0225314,310.4322775,0,0,12133,4699,-618,9,19,62.68484497,0.509,NULL
0e2d03af-50d5-42fe-a6e1-47f4f1a3a7a4,6419352b-82c5-4419-a2ae-090c3071dd98,81f49a78-8be8-4832-bfc2-c9f40b0fd468,1,1,3463357e-f9a9-4f80-b244-fce8cc302ab5,red,mid,32a441dd-5706-4c5c-a13b-e7eae2c6fb0f,cbe4505b-126e-4123-abfa-23f3d5758e15,7aba2090-0ed1-4957-bbb3-10e1edf25ed8,1,3,0,10,1,0,0,0,0,7.499283333,NULL,0,0,304,20,20,0,0.2929174976,13,0,0,454.319891,0,0,15648,5649,371,11,13,51.2605896,0.1998944444,NULL
0e2d03af-50d5-42fe-a6e1-47f4f1a3a7a4,259f6984-2cdb-410d-99f8-1749a2c8b8c4,81f49a78-8be8-4832-bfc2-c9f40b0fd468,1,1,57c9590b-bcff-4f47-9656-ddd6033d3596,red,bot,60d42849-beb1-4f64-83f0-6113bd4497df,cbe4505b-126e-4123-abfa-23f3d5758e15,cffa3533-e1c5-4d05-b72b-f05a2c9202c3,1,6,3,6,1,1,0,0,1,6.221426667,3.07125,0,0,298,6,6,0,0.2793790669,8,4369.765137,336.1357797,757.7862922,0,34.23150736,16511,6196,676,23,6,42.24902725,0.1499944444,NULL
0e2d03af-50d5-42fe-a6e1-47f4f1a3a7a4,25b95d8a-3363-4940-8437-ca402f65f022,81f49a78-8be8-4832-bfc2-c9f40b0fd468,1,1,c8ab5139-5836-46d0-b5cd-2bfab29d3f4e,red,sup,1eee2a7b-7843-46ef-8222-5bb9bbd40379,cbe4505b-126e-4123-abfa-23f3d5758e15,c5269e9d-b0a9-44cb-9ed1-ff01afa40fe7,1,0,3,13,0,0,0,0,0,NULL,6.121308333,0,1,41,0,0,0,0.1631946623,11,1202.448547,92.4960421,142.8568934,79.08096296,0,9043,3785,600,53,16,114.0795059,0.2743763889,0.4278
ac2618cd-a2e9-4366-bb71-4c97ded3141e,e6ca24a9-3a00-4847-babf-fdb83a0c04df,cbe4505b-126e-4123-abfa-23f3d5758e15,1,1,ff81d81f-5f1a-4c43-8769-2043f237312f,blue,top,6be8f7d2-b5d1-4015-8d63-decee3bd407d,0c2e1d71-432b-40ea-b378-924e2e804b0e,f2e2e2e6-5b79-47ae-bf8a-ea7780d0ce48,0,0,4,1,0,0,0,0,0,NULL,7.556866667,0,2,213,0,0,0,0.05091645916,3,2155.397583,269.4246979,194.3247178,0,0,8726,4784,-758,8,4,17.67338943,0.1493277778,NULL
